Janoris Jenkins,9,0,168,124,2019
Tre'Davious White,6,0,57,49,2019
Anthony Harris,6,1,42,20,2019
Stephon Gilmore,6,2,126,64,2019
Marcus Peters,5,3,210,121,2019
Devin McCourty,5,0,49,24,2019
Darius Leonard,5,1,92,80,2019
Kevin King,5,0,54,39,2019
J.C. Jackson,5,0,39,19,2019
Joe Haden,5,0,20,16,2019
Minkah Fitzpatrick,5,1,130,96,2019
Kevin Byard,5,0,79,28,2019
Marcus Williams,4,1,56,55,2019
Desmond Trufant,4,0,26,16,2019
Justin Simmons,4,0,30,17,2019
Andrew Sendejo,4,0,51,51,2019
Joe Schobert,4,0,24,20,2019
Logan Ryan,4,0,16,16,2019
Darius Phillips,4,0,82,28,2019
Tyrann Mathieu,4,0,70,35,2019
Quinton Dunbar,4,0,6,6,2019
K.J. Wright,3,0,10,11,2019
Juan Thornhill,3,1,46,46,2019
Harrison Smith,3,0,13,13,2019
Richard Sherman,3,1,65,31,2019
Fabian Moreau,3,0,16,10,2019
Damontae Kazee,3,0,53,22,2019
Rayshawn Jenkins,3,0,10,8,2019
Donte Jackson,3,0,25,25,2019
Marlon Humphrey,3,0,14,14,2019
Jordan Hicks,3,0,64,48,2019
Tre Herndon,3,0,0,0,2019
Erik Harris,3,2,145,59,2019
Tashaun Gipson,3,1,105,79,2019
Kyle Fuller,3,0,37,29,2019
Tre Flowers,3,0,0,0,2019
Quandre Diggs,3,1,99,55,2019
Pierre Desir,3,0,0,0,2019
Jamie Collins,3,1,85,69,2019
Sean Murphy-Bunting,3,1,88,70,2019
James Bradberry,3,0,0,0,2019
Tre Boston,3,0,20,20,2019
Jessie Bates,3,0,33,20,2019
Xavier Woods,2,0,38,29,2019
Jarrod Wilson,2,0,4,4,2019
Tramon Williams,2,0,0,0,2019
K'Waun Williams,2,0,53,49,2019
Darious Williams,2,0,0,0,2019
T.J. Watt,2,0,7,7,2019
Denzel Ward,2,1,61,61,2019
Damontae Kazee,7,0,54,33,2018
Xavien Howard,7,0,52,39,2018
Kyle Fuller,7,0,52,35,2018
Eddie Jackson,6,2,81,41,2018
Shawn Williams,5,1,131,58,2018
Alec Ogletree,5,2,61,20,2018
D.J. Swearinger,4,0,33,22,2018
Curtis Riley,4,1,67,46,2018
Damarious Randall,4,0,59,50,2018
Jordan Poyer,4,0,11,11,2018
Steven Nelson,4,0,53,35,2018
Trumaine Johnson,4,1,38,31,2018
John Johnson,4,0,46,35,2018
Donte Jackson,4,0,0,0,2018
Duron Harmon,4,0,0,0,2018
Kevin Byard,4,0,1,1,2018
Andrew Adams,4,0,34,16,2018
Denzel Ward,3,0,26,26,2018
Earl Thomas,3,0,25,25,2018
Harrison Smith,3,0,66,52,2018
Darius Slay,3,1,107,67,2018
Justin Simmons,3,0,8,8,2018
Justin Reid,3,1,128,101,2018
Jalen Ramsey,3,0,0,0,2018
Brian Poole,3,0,2,2,2018
Darius Slay,8,0,73,37,2017
Kevin Byard,8,0,130,33,2017
Eric Weddle,6,1,85,45,2017
A.J. Bouye,6,0,70,51,2017
Harrison Smith,5,0,42,19,2017
Jordan Poyer,5,1,33,19,2017
Marcus Peters,5,0,137,62,2017
Marshon Lattimore,5,1,85,33,2017
Micah Hyde,5,0,64,37,2017
Tre Boston,5,0,49,25,2017
Antoine Bethea,5,0,51,21,2017
Marcus Williams,4,0,12,12,2017
Tre'Davious White,4,0,86,63,2017
D.J. Swearinger,4,0,32,31,2017
Patrick Robinson,4,0,36,19,2017
Damarious Randall,4,1,35,21,2017
Jalen Ramsey,4,0,34,18,2017
Terrance Mitchell,4,0,40,40,2017
Xavien Howard,4,1,71,30,2017
Casey Hayward,4,0,7,7,2017
Duron Harmon,4,0,12,12,2017
Tashaun Gipson,4,0,83,67,2017
Kendall Fuller,4,0,4,3,2017
Barry Church,4,1,51,51,2017
Brandon Carr,4,0,57,33,2017
Casey Hayward,7,1,102,31,2016
Dominique Rodgers-Cromartie,6,0,28,28,2016
Marcus Peters,6,0,63,28,2016
Quintin Demps,6,0,54,19,2016
Xavier Rhodes,5,1,133,100,2016
Reggie Nelson,5,0,74,40,2016
Jordan Hicks,5,0,41,34,2016
Stephon Gilmore,5,0,135,49,2016
Landon Collins,5,1,72,44,2016
Ha Ha Clinton-Dix,5,0,75,27,2016
Eric Weddle,4,0,92,53,2016
Keith Tandy,4,0,28,28,2016
Richard Sherman,4,0,37,31,2016
C.J. Mosley,4,0,40,28,2016
Tony Lippett,4,0,0,0,2016
Brent Grimes,4,1,37,31,2016
Marcus Cooper,4,1,95,60,2016
Kurt Coleman,4,1,57,37,2016
Malcolm Butler,4,0,28,21,2016
Eric Berry,4,2,98,42,2016
Shawn Williams,3,0,14,13,2016
Trae Waynes,3,0,4,4,2016
Jamar Taylor,3,0,43,29,2016
Aqib Talib,3,1,86,46,2016
D.J. Swearinger,3,0,13,12,2016
Marcus Peters,8,2,280,90,2015
Reggie Nelson,8,0,115,37,2015
Trumaine Johnson,7,1,136,58,2015
Kurt Coleman,7,1,89,36,2015
Marcus Williams,6,0,45,21,2015
Charles Woodson,5,0,22,11,2015
Earl Thomas,5,0,67,32,2015
Darrelle Revis,5,0,48,24,2015
Tyrann Mathieu,5,1,92,33,2015
Reshad Jones,5,2,104,42,2015
Rashad Johnson,5,0,14,11,2015
Mike Adams,5,1,63,38,2015
Logan Ryan,4,0,39,25,2015
Glover Quin,4,1,77,31,2015
Josh Norman,4,2,110,46,2015
Dwight Lowery,4,1,96,69,2015
Luke Kuechly,4,1,48,32,2015
Davon House,4,0,21,15,2015
Andre Hal,4,1,54,31,2015
Brent Grimes,4,0,20,17,2015
Vontae Davis,4,0,6,6,2015
Thomas Davis,4,0,22,22,2015
David Amerson,4,1,28,24,2015
Jason Verrett,3,1,68,68,2015
Walter Thurmond,3,0,67,44,2015
Aqib Talib,3,2,123,63,2015
Jimmy Smith,3,1,24,24,2015
Sam Shields,3,0,15,15,2015
Dominique Rodgers-Cromartie,3,1,72,58,2015
Damarious Randall,3,1,47,43,2015
Paul Posluszny,3,0,25,19,2015
Ron Parker,3,0,5,5,2015
Terence Newman,3,0,4,4,2015
Mike Mitchell,3,0,16,9,2015
Trumaine McBride,3,1,84,63,2015
Adam Jones,3,0,14,14,2015
Janoris Jenkins,3,0,0,0,2015
Micah Hyde,3,0,36,34,2015
Duron Harmon,3,0,50,30,2015
Stephon Gilmore,3,0,33,29,2015
Marcus Gilchrist,3,0,31,31,2015
Lavonte David,3,1,19,20,2015
Karlos Dansby,3,2,93,52,2015
Tramaine Brock,3,0,26,26,2015
Delvin Breaux,3,0,22,22,2015
Ricardo Allen,3,0,13,13,2015
Kenneth Acker,3,0,45,45,2015
Paul Worrilow,2,0,22,11,2015
Steve Williams,2,0,6,6,2015
Shawn Williams,2,0,14,14,2015
Uani' Unga,2,0,1,1,2015
Danny Trevathan,2,1,39,25,2015
