Michael Thomas,149,1725,9,17,3,49,91,0.611,1,0,185,2019
Christian McCaffrey,116,1005,4,7,0,28,58,0.5,0,0,142,2019
DeAndre Hopkins,104,1165,7,16,1,43,68,0.654,0,0,150,2019
Keenan Allen,104,1199,6,15,1,45,63,0.606,0,0,149,2019
Julian Edelman,100,1117,6,13,1,44,54,0.54,3,0,153,2019
Julio Jones,99,1394,6,21,3,54,77,0.778,1,0,157,2019
Allen Robinson,98,1147,7,15,1,49,63,0.643,0,0,154,2019
Travis Kelce,97,1229,5,13,3,47,65,0.67,1,0,136,2019
Cooper Kupp,94,1161,10,21,4,66,51,0.5429999999999999,3,0,134,2019
Austin Ekeler,92,993,8,9,3,84,42,0.457,2,0,108,2019
Robert Woods,90,1134,2,14,1,48,54,0.6,0,0,139,2019
Darren Waller,90,1145,3,14,2,75,53,0.589,1,0,117,2019
Tyler Boyd,90,1046,5,12,3,47,51,0.5670000000000001,2,0,148,2019
Zach Ertz,88,916,6,12,0,30,50,0.568,1,0,135,2019
D.J. Moore,87,1175,4,13,4,52,63,0.7240000000000001,2,0,135,2019
Chris Godwin,86,1333,9,25,3,71,63,0.733,0,0,120,2019
George Kittle,85,1053,5,16,2,61,53,0.624,1,0,107,2019
Jarvis Landry,83,1174,6,20,2,65,55,0.6629999999999999,0,0,138,2019
Davante Adams,83,997,5,12,2,58,54,0.6509999999999999,2,0,127,2019
Tyler Lockett,82,1057,8,15,3,44,53,0.6459999999999999,1,0,110,2019
Alvin Kamara,81,533,1,2,1,41,28,0.34600000000000003,1,0,97,2019
Amari Cooper,79,1189,8,17,6,53,54,0.684,0,0,119,2019
Tarik Cohen,79,456,3,2,0,31,18,0.228,1,0,104,2019
Jamison Crowder,78,833,6,11,1,41,41,0.526,0,0,122,2019
Leonard Fournette,76,522,0,3,0,27,23,0.303,1,0,100,2019
Austin Hooper,75,787,6,8,0,35,41,0.547,0,0,97,2019
Larry Fitzgerald,75,804,4,10,4,54,40,0.5329999999999999,1,0,109,2019
Odell Beckham,74,1035,4,16,3,89,44,0.595,0,0,133,2019
D.J. Chark,73,1008,8,17,1,69,42,0.575,0,0,118,2019
James White,72,645,5,9,1,59,31,0.431,0,0,95,2019
Courtland Sutton,72,1112,6,18,6,70,50,0.6940000000000001,2,0,124,2019
DeVante Parker,72,1202,9,21,7,51,58,0.8059999999999999,0,0,128,2019
John Brown,72,1060,6,17,3,53,53,0.736,0,0,115,2019
Tyler Higbee,69,734,3,11,0,33,36,0.522,0,0,89,2019
Christian Kirk,68,709,3,6,1,69,31,0.456,0,0,107,2019
