Derrick Henry,1540,303,16,9,3,74,73,4.151,5,2019
Nick Chubb,1494,298,8,11,4,88,62,4.806,2,2019
Christian McCaffrey,1387,287,15,6,4,84,56,5.125,1,2019
Ezekiel Elliott,1357,301,12,4,0,33,78,3.859,3,2019
Chris Carson,1230,278,7,8,1,59,75,3.707,6,2019
Lamar Jackson,1206,176,7,11,1,47,71,2.479,8,2019
Leonard Fournette,1152,265,3,7,4,81,55,4.8180000000000005,0,2019
Josh Jacobs,1150,242,7,8,2,51,53,4.566,1,2019
Joe Mixon,1137,278,5,6,1,41,56,4.9639999999999995,0,2019
Dalvin Cook,1135,250,13,7,2,75,60,4.167,3,2019
Marlon Mack,1091,247,8,9,1,63,67,3.687,0,2019
Aaron Jones,1084,236,16,5,2,56,55,4.291,2,2019
Carlos Hyde,1070,245,6,8,3,58,55,4.455,4,2019
Mark Ingram,1018,202,10,6,2,53,53,3.8110000000000004,2,2019
Phillip Lindsay,1011,224,7,7,1,40,38,5.895,0,2019
Saquon Barkley,1003,217,6,8,3,68,45,4.822,0,2019
Sony Michel,912,247,7,3,0,26,55,4.4910000000000005,2,2019
Adrian Peterson,898,211,5,6,0,32,41,5.146,2,2019
David Montgomery,889,242,6,3,1,55,50,4.84,2,2019
Todd Gurley,857,223,12,5,0,25,51,4.373,3,2019
Miles Sanders,818,179,3,5,2,65,30,5.9670000000000005,2,2019
Kenyan Drake,817,170,8,4,1,91,48,3.542,2,2019
Alvin Kamara,797,171,5,5,1,40,32,5.343999999999999,3,2019
Le'Veon Bell,789,245,3,0,0,19,36,6.806,0,2019
Devin Singletary,775,151,2,7,0,38,37,4.081,4,2019
Raheem Mostert,772,137,8,3,2,41,31,4.419,1,2019
Ronald Jones,724,172,6,6,1,49,34,5.059,2,2019
Gus Edwards,711,133,2,5,1,63,46,2.891,2,2019
Devonta Freeman,656,184,2,3,0,28,31,5.935,2,2019
Latavius Murray,637,146,5,3,0,30,38,3.842,0,2019
Matt Breida,623,123,1,4,1,83,23,5.348,2,2019
Melvin Gordon,612,162,8,2,0,24,39,4.154,3,2019
Frank Gore,599,166,2,4,1,41,30,5.5329999999999995,0,2019
Austin Ekeler,557,132,3,4,0,35,32,4.125,1,2019
Kyler Murray,544,91,4,7,0,35,27,3.37,1,2019
Tevin Coleman,544,137,6,4,1,48,26,5.269,0,2019
Jordan Howard,525,119,6,1,0,20,28,4.25,0,2019
Josh Allen,510,109,9,1,0,36,41,2.659,7,2019
Damien Williams,498,111,5,2,2,91,22,5.045,1,2019
Royce Freeman,496,132,3,1,0,26,22,6.0,0,2019
Peyton Barber,470,154,6,0,0,17,23,6.696000000000001,1,2019
LeSean McCoy,465,101,4,4,0,39,24,4.208,2,2019
James Conner,464,116,4,2,0,25,26,4.462,1,2019
Alexander Mattison,462,100,1,4,0,35,19,5.263,1,2019
Jamaal Williams,460,107,1,1,1,45,23,4.652,0,2019
Tony Pollard,455,86,2,4,1,44,21,4.095,1,2019
Benny Snell,426,108,2,3,0,23,19,5.684,1,2019
