Preston Brown,164,81,71,0.0,2019
Bobby Wagner,159,73,71,3.0,2019
Blake Martinez,155,57,92,3.0,2019
Jordan Hicks,150,57,83,1.5,2019
Budda Baker,147,43,91,0.5,2019
Luke Kuechly,144,63,75,0.0,2019
Jaylon Smith,142,59,80,2.5,2019
Zach Cunningham,142,43,85,2.0,2019
Cory Littleton,134,56,68,3.5,2019
Todd Davis,134,56,70,0.0,2019
Joe Schobert,133,44,84,2.0,2019
K.J. Wright,132,65,61,0.0,2019
Eric Reid,130,33,91,4.0,2019
De'Vondre Campbell,129,54,68,2.0,2019
D.J. Swearinger,126,45,73,0.0,2019
Jerome Baker,126,50,72,1.5,2019
Anthony Walker,124,40,72,2.5,2019
Lavonte David,123,41,79,1.0,2019
Darius Leonard,121,50,49,5.0,2019
Fred Warner,118,28,79,3.0,2019
Landon Collins,117,39,71,1.0,2019
Janoris Jenkins,115,20,93,0.0,2019
Tremaine Edmunds,115,49,47,1.5,2019
Shawn Williams,114,34,77,1.0,2019
Logan Ryan,113,40,65,4.5,2019
Darius Leonard,163,52,93,7.0,2018
Blake Martinez,144,53,78,5.0,2018
Leighton Vander Esch,140,38,97,0.0,2018
Bobby Wagner,138,54,72,1.0,2018
Anthony Hitchens,135,54,76,0.0,2018
Telvin Smith,134,34,91,1.0,2018
Mason Foster,131,50,64,1.0,2018
Luke Kuechly,130,37,87,2.0,2018
Tahir Whitehead,126,37,77,0.0,2018
Cory Littleton,125,35,74,4.0,2018
Kiko Alonso,125,46,67,0.0,2018
Fred Warner,124,39,70,0.0,2018
Roquan Smith,121,32,82,5.0,2018
Jaylon Smith,121,39,76,4.0,2018
Tremaine Edmunds,121,41,70,2.0,2018
Antoine Bethea,121,21,94,3.0,2018
Avery Williamson,120,40,76,3.0,2018
Lavonte David,120,26,86,3.5,2018
John Johnson,119,37,66,0.0,2018
Jamal Adams,115,29,83,3.5,2018
Todd Davis,114,34,75,0.5,2018
Wesley Woodyard,113,44,48,4.5,2018
Jessie Bates,111,38,71,0.0,2018
Shawn Williams,110,29,78,1.0,2018
Demario Davis,110,36,70,5.0,2018
Joe Schobert,144,57,82,3.0,2017
Blake Martinez,144,48,84,1.0,2017
Preston Brown,144,60,68,0.0,2017
Christian Kirksey,138,52,81,3.5,2017
Deion Jones,138,47,85,1.0,2017
Demario Davis,135,38,93,5.0,2017
Bobby Wagner,133,36,88,1.5,2017
C.J. Mosley,132,36,94,1.0,2017
Zach Brown,127,43,77,2.5,2017
NaVorro Bowman,127,47,63,1.5,2017
Luke Kuechly,125,51,71,1.5,2017
Wesley Woodyard,124,40,78,5.0,2017
Reshad Jones,122,28,87,1.5,2017
Keanu Neal,116,33,79,0.0,2017
Kiko Alonso,115,36,74,1.0,2017
Eric Kendricks,113,46,66,1.0,2017
Tahir Whitehead,110,32,69,1.0,2017
Antonio Morrison,109,45,62,0.0,2017
K.J. Wright,108,37,65,0.0,2017
Brandon Marshall,106,31,69,3.0,2017
Landon Collins,104,26,62,0.0,2017
Telvin Smith,102,26,73,1.0,2017
Sean Lee,101,31,64,0.0,2017
Lavonte David,101,25,67,0.0,2017
Matthias Farley,98,38,60,0.0,2017
Bobby Wagner,167,82,82,4.5,2016
Zach Brown,149,52,81,4.0,2016
Christian Kirksey,148,52,93,2.5,2016
Sean Lee,145,52,83,0.0,2016
Kwon Alexander,145,37,96,3.0,2016
Preston Brown,139,60,57,1.0,2016
Alec Ogletree,136,38,93,0.0,2016
Paul Posluszny,133,36,92,1.5,2016
Tahir Whitehead,132,33,92,0.0,2016
Zach Orr,132,41,85,0.0,2016
Benardrick McKinney,129,50,68,5.0,2016
Johnathan Cyprien,127,31,91,1.0,2016
K.J. Wright,126,54,69,4.0,2016
Landon Collins,125,25,86,4.0,2016
Mason Foster,124,35,79,1.0,2016
Telvin Smith,118,20,97,1.0,2016
Mark Barron,118,27,88,1.0,2016
Craig Robertson,115,44,65,1.0,2016
Kiko Alonso,115,46,65,0.0,2016
Lawrence Timmons,114,36,66,2.5,2016
Karlos Dansby,114,45,65,1.0,2016
Jamie Collins,112,33,74,3.0,2016
Jerrell Freeman,110,24,72,0.0,2016
Antoine Bethea,110,15,87,0.0,2016
Eric Kendricks,109,39,70,2.5,2016
NaVorro Bowman,154,38,99,2.5,2015
D'Qwell Jackson,150,61,80,3.0,2015
Lavonte David,147,62,74,3.0,2015
Reshad Jones,135,29,101,2.0,2015
Paul Posluszny,133,30,102,1.0,2015
Telvin Smith,128,29,98,2.5,2015
Sean Lee,128,52,65,2.5,2015
Corey Graham,127,31,86,1.0,2015
Malcolm Smith,122,23,94,4.0,2015
Daryl Smith,121,49,68,3.0,2015
Preston Brown,120,54,55,0.0,2015
Lawrence Timmons,119,42,63,5.0,2015
Luke Kuechly,118,42,72,1.0,2015
C.J. Mosley,117,40,74,4.0,2015
Barry Church,117,39,70,0.0,2015
K.J. Wright,116,45,68,1.0,2015
Derrick Johnson,116,21,87,4.0,2015
Mark Barron,116,37,76,1.0,2015
Bobby Wagner,114,47,64,0.5,2015
Jerrell Freeman,112,46,64,3.0,2015
Landon Collins,112,28,69,0.0,2015
Deone Bucannon,112,19,90,3.0,2015
Stephone Anthony,112,42,66,1.0,2015
Dashon Goldson,110,39,64,0.0,2015
Brian Cushing,110,47,56,0.0,2015
Luke Kuechly,153,54,98,3.0,2014
DeAndre Levy,151,34,114,2.5,2014
Lavonte David,146,45,85,1.0,2014
Curtis Lofton,144,45,96,0.0,2014
Paul Worrilow,142,58,78,2.0,2014
D'Qwell Jackson,138,57,76,4.0,2014
C.J. Mosley,133,44,87,3.0,2014
Lawrence Timmons,132,45,76,2.0,2014
Morgan Burnett,130,36,81,1.5,2014
Daryl Smith,128,60,62,1.0,2014
David Harris,123,52,54,5.5,2014
Vincent Rey,121,60,60,0.0,2014
Jameel McClain,116,42,53,2.5,2014
Demario Davis,116,37,54,3.5,2014
Jamie Collins,116,42,67,4.0,2014
Eric Weddle,114,23,70,0.0,2014
Johnathan Cyprien,114,34,80,0.0,2014
Charles Woodson,113,30,75,1.0,2014
Brandon Marshall,113,22,80,2.0,2014
Michael Griffin,112,27,84,3.0,2014
Alec Ogletree,111,26,71,0.0,2014
Jelani Jenkins,110,27,76,3.5,2014
Keenan Robinson,109,38,64,1.5,2014
James Laurinaitis,109,28,70,3.5,2014
Miles Burris,109,33,62,0.0,2014
Preston Brown,109,43,54,0.0,2014
Chris Borland,108,24,77,1.0,2014
K.J. Wright,107,34,65,2.0,2014
Dawan Landry,107,40,61,1.5,2014
Donte Whitner,106,37,66,0.0,2014
Robert Blanton,106,34,71,0.0,2014
T.J. McDonald,105,21,74,2.0,2014
Bobby Wagner,104,37,60,2.0,2014
Telvin Smith,104,32,68,2.0,2014
Nigel Bradham,104,38,40,2.5,2014
Ryan Mundy,103,28,71,1.0,2014
Josh Mauga,103,21,76,0.5,2014
Ryan Clark,102,33,61,0.5,2014
Thomas Davis,100,34,63,2.5,2014
Craig Robertson,99,42,53,0.0,2014
Earl Thomas,97,26,70,0.0,2014
Kemal Ishmael,97,30,60,0.0,2014
Barry Church,97,20,71,0.0,2014
Reggie Nelson,95,33,59,1.5,2014
Jerrell Freeman,95,37,55,1.5,2014
Wesley Woodyard,94,41,52,2.5,2014
Ron Parker,94,10,82,1.0,2014
Perry Riley,93,33,50,2.0,2014
Chad Greenway,93,37,52,1.0,2014
Karlos Dansby,93,46,47,3.0,2014
Harrison Smith,92,21,69,3.0,2014
Rashad Johnson,92,17,72,1.0,2014
Ha Ha Clinton-Dix,92,27,58,1.0,2014
Emmanuel Lamur,91,38,53,0.0,2014
Sio Moore,90,23,60,3.0,2014
Josh Evans,90,28,60,0.0,2014
Dont'a Hightower,89,38,48,6.0,2014
A.J. Hawk,89,36,46,0.5,2014
Michael Wilhoite,87,20,62,0.0,2014
Antrel Rolle,87,16,60,0.0,2014
Mike Adams,87,20,62,0.0,2014
Tahir Whitehead,86,23,62,0.0,2014
Antoine Bethea,86,14,66,1.0,2014
Jason McCourty,85,8,76,0.0,2014
Patrick Chung,85,31,45,0.0,2014
J.T. Thomas,84,33,51,0.0,2014
Kendrick Lewis,84,32,41,0.0,2014
Corey Graham,84,19,54,0.0,2014
Jon Bostic,84,26,57,0.0,2014
Mychal Kendricks,83,21,60,4.0,2014
David Hawthorne,83,31,48,3.0,2014
Larry Foote,83,22,59,2.0,2014
Deone Bucannon,83,17,62,2.0,2014
Danny Lansanah,82,21,49,1.5,2014
Joplo Bartu,82,35,47,1.0,2014
Rolando McClain,81,16,55,1.0,2014
Christian Kirksey,81,34,44,2.0,2014
Dashon Goldson,81,18,53,0.0,2014
Reshad Jones,80,10,67,1.0,2014
Malcolm Jenkins,80,16,61,0.0,2014
Avery Williamson,79,28,51,3.0,2014
Dwight Lowery,79,19,59,1.0,2014
Tony Jefferson,79,9,65,1.0,2014
J.J. Watt,78,19,50,20.5,2014
Kam Chancellor,78,18,55,0.0,2014
Jacquian Williams,77,22,37,0.0,2014
Jason Pierre-Paul,77,23,43,12.5,2014
Aaron Williams,76,25,40,0.0,2014
Alterraun Verner,76,18,46,0.0,2014
Khalil Mack,76,17,55,4.0,2014
Marcus Gilchrist,76,17,51,1.0,2014
Johnathan Joseph,75,5,66,0.0,2014
Anthony Hitchens,75,16,52,0.0,2014
Kroy Biermann,75,34,38,4.5,2014
J.J. Wilcox,74,12,57,0.0,2014
T.J. Ward,74,14,57,2.0,2014
Kenny Vaccaro,74,23,50,1.0,2014
George Iloka,74,26,48,0.0,2014
Jasper Brinkley,74,21,53,1.0,2014
